staff_id,first_name,last_name,dep_id,staff_type,contact_num,email,role,address,postcode
1,John,Smith,2,Medical,555-0100,j.smith@hospital.com,Pediatrician,26 Crud Street,36222
2,June,Wilson,7,Medical,555-0101,j.wilson@hospital.com,Doctor,32 Side Street,49553
3,Julie,Green,1,Medical,555-0102,j.green@hospital.com,Nurse,456 Binny Road,54211
4,Emma,Jones,6,Medical,555-0103,e.jones@hospital.com,Orthopedic Doctor,47 jump close,1533
5,Jayne,Skydive,3,Medical,555-0104,j.skydive@hospital.com,Dietician,50 dream road,16494
6,Michael,Davis,2,Medical,555-0105,m.davis@hospital.com,Pediatrician,456 Jot Street,56298
7,James,Williams,5,Medical,555-0106,j.williams@hospital.com,Gynaecologist,003 Sea Street,34708
8,Sheila,Peter,7,Medical,555-0107,s.peter@hospital.com,Doctor,62 Hills Street,30952
9,Sandra,Johnson,4,Medical,555-0108,s.johnson@hospital.com,Nurse,46 Main Street,34899
10,David,Williams,8,Administrative,555-0109,d.williams@hospital.com,Receptionist,6 filly Street,15625
11,Sarah,Garcia,5,Medical,555-0110,s.garcia@hospital.com,Gynaecologist,456 Mountain Avenue,84894
12,Debby,Mildred,11,Medical,555-0111,d.mildred@hospital.com,Surgeon,195 yaw Street,59744
13,Johnnie,Miller,7,Medical,555-0112,j.miller@hospital.com,Doctor,985 Draya Street,81741
14,Sarah,Brownson,4,Medical,555-0113,s.brownson@hospital.com,Nurse,456 Main Street,93552
15,William,Johnson,8,Administrative,555-0114,w.johnson@hospital.com,Secretary,456 Forest Street,34891
16,John,Davis,3,Medical,555-0115,j.davis@hospital.com,Dietician,456 Main Street,81781
17,Emily,Brownwell,2,Medical,555-0116,e.brownwell@hospital.com,Nurse,76 wlsgrave,80991
18,Jerome,Smith,7,Medical,555-0117,j.smith@hospital.com,Doctor,21 Croc Close,17234
19,William,Wilson,6,Medical,555-0118,w.wilson@hospital.com,Orthopedic Doctor,456 Main Street,85331
20,Gracie,Wilson,2,Medical,555-0119,g.wilson@hospital.com,Pediatrician,456 way close,80655
21,Jane,Garcia,8,Administrative,555-0120,j.garcia@hospital.com,Medical Record Clerk,20 Mimo Street,53862
22,Michael,Humphrey,7,Medical,555-0121,m.humphrey@hospital.com,Nurse,42 Binda Street,4996
23,Japher,Jones,5,Medical,555-0122,j.jones@hospital.com,Gynaecologist,98 Frozen Avenue,22155
24,Wilfred,Doe,2,Medical,555-0123,w.doe@hospital.com,Pediatrician,456 Tress Close,32121
25,Noah,Davis,6,Medical,555-0124,n.davis@hospital.com,Nurse,2 Obj Avenue,87154
26,John,Jones,12,Medical,555-0125,j.jones@hospital.com,Respiratory Therapist,456 dream Street,731
27,Jennifer,Blue,5,Medical,555-0126,j.blue@hospital.com,Nurse,67 Crud Avenue,62432
28,Willie,Miller,8,Administrative,555-0127,w.miller@hospital.com,Receptionist,13 Goated Road,17696
29,David,Miller,7,Medical,555-0128,d.miller@hospital.com,Doctor,456 Main Street,89574
30,Emma,Gary,2,Medical,555-0129,e.gary@hospital.com,Nurse,6 Moka Street,9886
31,Jianna,Brownwell,8,Administrative,555-0130,j.brownwell@hospital.com,Medical Record Clerk,40 Buy Road,75584
32,John,Davis,5,Medical,555-0131,j.davis@hospital.com,Nurse,368 Minky Crescent,78392
33,Silver,Wilson,11,Medical,555-0132,s.wilson@hospital.com,Surgeon,79 Sliver Street,77971
34,Emily,Jones,4,Medical,555-0133,e.jones@hospital.com,Oncologist,39 croy Street,83566
35,Shantel,Tom,1,Medical,555-0134,s.tom@hospital.com,Anaesthesiologist,44 Hot Street,81449
36,James,Garcia,7,Medical,555-0135,j.garcia@hospital.com,Occupational Therapist,4 Mami close,94879
37,Michael,Johnson,1,Medical,555-0136,m.johnson@hospital.com,Anaesthesiologist,5 Gold Road,84546
38,Olivia,Williams,10,Medical,555-0137,o.williams@hospital.com,Radiologist,9 Bronze Street,2168
39,Sarah,Stone,12,Medical,555-0138,s.stone@hospital.com,Respiratory Therapist,17 Silver Road,78947
40,Williamson,Doe,8,Administrative,555-0139,w.doe@hospital.com,Medical Record Clerk,88 Rubby Close,59377
41,David,Johnson,9,Medical,555-0140,d.johnson@hospital.com,Sonographer,7 Main Street,16207
42,Jenny,White,10,Medical,555-0141,j.white@hospital.com,Nurse,907 Crest Street,99509
43,Jerry,Williams,8,Administrative,555-0142,j.williams@hospital.com,Receptionist,83 Chest Street,28126
44,Jane,Wilfred,10,Medical,555-0143,j.wilfred@hospital.com,Radiologist,456 Main Street,80524
45,Safaria,Williams,7,Medical,555-0144,s.williams@hospital.com,Occupational Therapist,72 Brass Road,85048
46,Sofia,Brownson,4,Medical,555-0145,s.brownson@hospital.com,Oncologist,29 Emerald Close ,69266
47,Freda,Miller,7,Medical,555-0146,f.miller@hospital.com,Doctor,456 Main Street,26338
48,Olivia,Brown,3,Medical,555-0147,o.brown@hospital.com,Dietician,28 Tampine Avenue,83094
49,Juliet,Smith,2,Medical,555-0148,j.smith@hospital.com,Pediatrician,372 Chess Crescent,94384
50,Joe,Brown,2,Medical,555-0149,j.brown@hospital.com,Pediatrician,99 Pain Street,24793
